swarm_size,inertia_weight,iterations,best_cost,best_accuracy,convergence_iteration,best_C,best_gamma
10,0.4,100,0.0,1.0,0,20.863505613759383,0.0784354736796203
10,0.7,100,0.0,1.0,0,3.4297116012831697,0.17205140358104015
10,0.9,100,0.0,1.0,1,46.22246501152058,0.055165672921659685
30,0.4,100,0.0,1.0,0,0.34286077165338413,3.1120849295795603
30,0.7,100,0.0,1.0,0,4.3341194033133705,0.04641566279464054
30,0.9,100,0.0,1.0,0,8.874709756396822,0.05227556967073116
50,0.4,100,0.0,1.0,0,66.00844118045589,0.0461636463989282
50,0.7,100,0.0,1.0,0,3.7107458956953066,0.04314844851000781
50,0.9,100,0.0,1.0,0,4.193257415409669,0.04059458817248923
